anime_id,title,year,description,anime_url,views,rating_average,rating_counts,rating_SHIKIMORI,rating_MAL,rating_WORLDART,rating_KINOPOISK,genres,min_age,season,anime_status,type,categoty_placement,global_placement
1,Ведьма-неудачница: Фука и тёмная ведьма,2023,"Фука — неуклюжая принцесса, прозванная «Ведьмой-неудачницей». Случайно сняв печать с древнего браслета, она пробуждает Тёмную Ведьму, угрожающую миру. Чтобы исправить ошибку, Фука и её друзья Титосэ и Карин отправляются в опасное путешествие, где им предстоит сразиться со злом и обрести веру в себя.",22-7,46523,6.50909090858182,55,6.26771653543307,6.3,5.3,0,"Приключения, Фэнтези, Ведьмы",PG-13 (от 13 лет),1,вышел,Короткометражный фильм,1220,8236
2,5 сантиметров в секунду,2007,"Что происходит, когда два человека любят друг друга, однако судьбой им не уготовано быть вместе? Такаки Тоно с детства был близок с Акари Синохарой, но в средней школе из-за переезда семьи Акари в другой город дети вынуждены прекратить совместное времяпровождение и свести общение к телефонным разговорам и переписке, дав обещание поддерживать связь и в будущем. Однако время и жизнь порознь проложили между их сердцами расстояние гораздо больше территориального...

«Пять сантиметров в секунду» — это романтическая драма, уделяющая основное внимание обыденной и суровой реальности отношений на расстоянии. Застрявшие в прошлом, неспособные заполнить пустоту воспоминаний из детства новыми, Такаки и Акари остаётся лишь цепляться за надежду встретиться снова, влача унылые будни, причиняя боль себе и окружающим их людям в ожидании этого дня.",5-santimetrov-v-sekundu,236382,7.75159235608317,2669,7.74267979383746,7.55,8.8,7.8,"Сэйнэн, Драма, Романтика, Повседневность, Школьная жизнь",PG-13 (от 13 лет),2,вышел,Полнометражный фильм,1186,7574
3,"А ты думал, что твоя жена в онлайн-игре на самом деле не девушка?",2016,"В центре сюжета как обычно простой школьник-подросток. Зовут его Хидеки Нишимура. Однажды он сделал предложение руки и сердца одной красавице в онлайн-игре. Но как оказалось, за этим милым девичьим личиком скрывался не такой уж очаровательный парень. Переполненный горечью и гневом, главный герой дал себе отчаянную клятву никогда не доверять прекрасному полу в онлайн-играх. Однако, спустя определенное время предложение получит уже наш герой Хидеки. А сделает его вполне себе реальная и ну очень красивая старшеклассница Ако Тамаки. Что из всего этого выйдет?",a-ty-dumal-chto-tvoya-zhena-v-onlajn-igre-na-samom-dele-ne-devushka,229559,6.74279973110783,1493,6.67747219259485,6.66,7.1,6.1,"Сёнэн, Этти, Комедия, Романтика, Школьная жизнь, Игры",PG-13 (от 13 лет),2,вышел,Сериал,4041,10092
4,A3! Осень и зима,2020,"Компания «Манкай» далека от тех славных дней, когда она была исключительно мужским театром. Осталась только одна участница, а на пороге стоят сборщики долгов, поэтому неудивительно, что Изуми Тачибана оказывается в безвыходной ситуации, когда она смело противостоит ростовщикам из якудза, обещая вернуть театр своего отца в центр внимания. Возможно, ей удастся набрать достаточно талантливых людей, но смогут ли они стать актерами, которые ей нужны?",a3-osen-i-zima,31380,6.893617021,47,7.39100346020761,7.26,5.2,0,"Драма, Повседневность",PG-13 (от 13 лет),4,вышел,Сериал,2728,6825
5,A3! Весна и лето,2020,"Театр «Манкай» находится на грани разорения, накопив множество долгов после исчезновения прошлого руководителя. Главная героиня — Идзуми Татибана, дочь предыдущего руководителя, берёт на себя организацию работы театра и его восстановление. Чтобы театр приносил доход, на его сцене должны по очереди ставить спектакли четыре труппы, носящие названия в честь четырёх времён года. Якудза ставят Татибане условие, что театр не будет закрыт, только в случае, если получится собрать минимум по пять актёров для каждой труппы и поставить с ними представления, что наберут полный зал в конце показа, а также выплатить весь долг до конца года.",a3-vesna-i-leto,26495,7.35294117647059,51,7.032,7.11,5,0,"Бисёнэн, Драма, Искусство, Повседневность",PG-13 (от 13 лет),1,вышел,Сериал,2098,4719
6,Абсолютный Дуэт,2015,"Небезызвестная академия Корю уже давно ведёт поиски одарённых юношей и девушек. Их дар заключается в особом взаимодействии с передовыми технологиями, которые способны развивать и усиливать способности человека до предела. Каждый из учеников проходит обряд посвящения, где в него внедряют ""Люцифул"", который и пробуждает невероятные таланты. Помимо основных способностей человек получает индивидуальное оружие под названием Клеймо. Обычно оно похоже на меч или клинок, однако у нашего героя всё получилось наоборот. Вместо оружия Каконэ Тоору получил некий щит, чего ещё в мире никогда не случалось. Возможно повлияло состояние души Тоору, ведь последнее время он был подавлен горем и жаждал мести. В любом случае ему придется пока забыть о прошлых переживаниях, ведь в дуэт ему попалась серебровласая красавица, с которой точно не соскучишься.",absolyutnyj-duet,195224,6.96540469957702,1532,6.73359342915811,6.41,6.3,6,"Этти, Приключения, Романтика, Фэнтези, Экшен, Суперспособности, Гарем, Школьная жизнь, Сверхъестественное",R-17+ (насилие и/или нецензурная лексика),1,вышел,Сериал,3981,10010
7,Адепт святого знака — OVA,2010,"Дополнительный эпизод, события которого происходят между 10 и 11 сериями оригинального сериала.",adept-svyatogo-znaka-ova,56304,6.795774647,142,6.52074966532798,6.37,6.4,0,"Сэйнэн, Этти, Экшен, Суперспособности, Сверхъестественное",R+ (есть сцены легкой эротики),4,вышел,OVA,0,9259
8,Адепт святого знака,2010,"В далёкой Японии есть всё — даже православная гимназия Св. Михайлова, в которой и происходит действие сериала. С виду тихая частная школа становится ареной борьбы между «верными» и еретиками, что ищут чудотворную икону, якобы дающую ключ к величайшим загадкам мироздания. С обеих сторон в конфликте участвуют «квейзеры» — таинственные адепты алхимии, которые владеют каким-либо природным элементом и используют его в бою. И, что самое интересное, поддерживать силы боевые маги могут, лишь получая Сому — напиток, очень похожий на женское молоко, что чудесным образом появляется у местных школьниц… Отступники быстро бы сделали своё чёрное дело, если бы не явившийся из заснеженной России Саша Хэлл — молодой адепт со стигматом в виде 8-конечного креста на лице.
Объединившись с носительницей тайны Томо Яманобэ и её подругой Мафую Орибэ, Александр начинает свой священный поход за очищение школы от зла. А если учесть, что главную союзницу героев зовут Тереза Берия, то врагам веры точно не позавидуешь!",adept-svyatogo-znaka-tv-1,172001,6.262376237,404,6.2809619238477,6.32,6.9,5.8,"Сэйнэн, Этти, Комедия, Приключения, Экшен, Суперспособности, Русские в аниме, Сверхъестественное",R+ (есть сцены легкой эротики),1,вышел,Сериал,4015,10053
9,Адепт святого знака 2,2011,"От души покуролесив в православной гимназии Св. Михайлова, главные герои первого сезона отправились на переподготовку в тайную церковную организацию «Афон». И вот сына снегов Сашу Хэлла ждет новое задание. Вместе с Ханой Кацураги, прочно вставшей на путь исправления, он на этот раз должен внедриться в католическую академию Суйрэй, найти девушку, обладающую даром «Магдалина Грома», и не допустить, чтобы на нее наложили руки злокозненные Адепты-еретики. А так как новая академия – исключительно женская, то бедного парня ждут нелегкие времена!

Ну ничего, наши и не такое видали, и вот уже Александр Николаевич при помощи безбашенной и незакомплексованной Ханы уверенно движется к титулу королевы школы, по пути хватая девушек за всякое, вовсю дегустируя сому и отпуская фирменные реплики на ломаном великом и могучем. Вот только и на «руссо туристо» нашлась управа. И снова магические битвы сотрясают реальный и виртуальный мир, элементы трансмутируют, сома льется рекой, а мы сможем наслаждаться жизнью и похождениями дружной «михайловской» компании!
",adept-svyatogo-znaka-tv-2,41856,6.54954954945495,222,6.45841434435083,6.31,6.6,5.8,"Сэйнэн, Этти, Комедия, Приключения, Экшен, Суперспособности, Сверхъестественное",R+ (есть сцены легкой эротики),2,вышел,Сериал,3844,9771
10,Адский полицейский,2012,"Это история о большом городе, пропитанном насквозь преступностью. Вся власть куплена мафией, а на улицах творится бардак и беззаконие. Но есть тот, кто не поддастся блеску золота и сладким речам злодеев! Он накажет их своей пламенной силой! Трепещите, враги правосудия! Ибо в этот город из глубин ада пришёл он — Адский Полицейский!",adskij-policejskij,29429,6.655913978,93,6.72639484978541,7.21,5.6,6.4,"Комедия, Экшен, Полицейские",R-17+ (насилие и/или нецензурная лексика),1,вышел,ONA,1542,8933
