anime_id,title,anime_url,views,type,rating_avg
28636,"Первородный грех Такопи: Спасибо, увидимся завтра",pervorodnyy-greh-takopi-spasibo-uvidimsya-zavtra,378,Полнометражный фильм,0.00
28630,Чжун Куй,chzhun-kuy,136,Полнометражный фильм,0.00
28619,Аватар: Семь Гаваней,avatar-sem-gavaney,1 406,ONA,0.00
28618,Легенда о Вокс Макине 4,legenda-voks-makine-4,1 726,Сериал,0.00
28617,"Добро пожаловать, Скуби-Ду!",dobro-pozhalovat-skubi-du,722,ONA,0.00
28601,Волшебник ледяного клинка правит миром 2,volshebnik-ledyanogo-klinka-pravit-mirom-2,2 313,Сериал,0.00
28595,Странный доктор из Королевства лунного цветка,strannyy-doktor-iz-korolevstva-lunnogo-cvetka,989,Сериал,0.00
28594,Бедняжка! Театр,bednyazhka-teatr,189,Сериал,0.00
28558,Ты хочешь быть тануки?,ty-hochesh-byt-tanuki,1 044,Сериал,0.00
28502,Гигант,gigant,7 459,Полнометражный фильм,0.00
28456,Мобильный воин Гандам: Поколение ноль,mobilnyy-voin-gandam-pokolenie-nol,1 287,Полнометражный фильм,0.00
28390,Трансформеры: Дикий король W,transformers-wild-king-w,4 571,ONA,0.00
28389,Возмездие раненой святой 2,kizu-darake-seijo-yori-houfuku-wo-komete-season-2,3 649,Малометражный сериал,0.00
28388,Бронированные воины Вотомы: Серая ведьма,bronirovannye-voiny-votomy-seraya-vedma,4 300,Полнометражный фильм,0.00
28367,"Титры заканчиваются там, где море",titry-zakanchivayutsya-tam-gde-more,2 514,Полнометражный фильм,0.00
28316,Канал Блэка,kanal-bleka,1 745,Сериал,0.00
28305,Моя геройская академия: Я тоже герой,moya-geroyskaya-akademiya-ya-tozhe-geroy,14 420,Не важно,0.00
28249,Могучие орботы,moguchie-orboty,1 470,Сериал,5.57
28203,Один на один: Леди не играют в файтинги,ledi-ne-igrayut-faytingi,3 064,Сериал,0.00
28197,Магическая битва: Модуль PV,magicheskaya-bitva-modul-pv,50 450,Спешл,8.53
28186,Пять невест OVA,5-toubun-no-hanayome-ova,6 473,OVA,0.00
28185,"Пять невест: Весна, лето, осень, зима",pyat-nevest-vesna-leto-osen-zima,7 614,Сериал,0.00
28159,Сильнейшая ведьма в мире стартовала,silneyshaya-vedma-v-mire-startovala,10 618,Сериал,0.00
28113,Иные стремления Чжи Тана,inie-stremleniya-chzhi-tana,3 409,ONA,5.86
28112,"Дурни, тесты, аватары: Мини-аниме",durni-testi-avatari-mini-anime,2 848,Спешл,6.92
28111,На северо-северо-запад вслед за облаками,na-severo-severo-zapad-vsled-za-oblakami,2 678,Сериал,0.00
28080,Ненасытный Берсерк 2,nenasytnyy-berserk-2,32 091,Сериал,0.00
28079,Кагурабати,kagurabati,50 365,Сериал,0.00
28053,Импульс мира (reboot),impuls-mira-reboot,10 506,Не важно,0.00
28037,Тануки и лис,tanuki-i-lis,1 956,Сериал,0.00
28021,"Звучи, эуфониум! Финал | Часть 2",saishuu-gakushou-hibike-euphonium-kouhen,3 027,Полнометражный фильм,0.00
27995,The Ribbon Hero,the-ribbon-hero,6 100,ONA,0.00
27989,Очкарик-янки,ochkarik-yanki,7 340,Сериал,0.00
27968,Дневник сорокалетнего мудреца в другом мире,dnevnik-sorokaletnego-mudreca-v-drugom-mire,13 579,Сериал,0.00
27967,Записи о книгах в старом книжном магазине,biblia-koshodou-no-jiken-techou,4 416,Сериал,0.00
27961,Бессмертное путешествие к долголетию,changsheng-xianyou,4 944,ONA,0.00
27960,Верховный господствующий меч,yi-jian-du-zun,4 085,ONA,0.00
27959,Непревзойдённый под небесами: Дрейфующий ледяной город,tianxia-wushuang-fubing-cheng-pian,5 916,ONA,0.00
27958,Не называйте меня дьяволом,bie-jiao-wo-emo,4 544,ONA,0.00
27947,Глупая игра богов,zhu-shen-yu-xi,4 403,ONA,0.00
27931,За пределом божественного царства 2,shenguo-zhi-shang-2nd-season,3 186,ONA,0.00
27930,Сюнмао Ли,li-xiongmao,3 269,ONA,0.00
27929,Затерянный город странных зверей,yi-shou-mi-cheng,3 703,ONA,0.00
27923,Я не бог театра,ya-ne-bog-dramy,1 830,ONA,0.00
27912,Расцвет молодости: Наша весна,rascvet-molodosti-nasha-vesna,12 612,Сериал,6.83
27901,Ария по прозвищу Алая Пуля (Shinsaku Short Anime),ariya-po-prozvishchu-alaya-pulya-shinsaku-short-anime,7 471,Не важно,0.00
27900,Рандеву с жизнью F: Последнее свидание,randevu-zhiznyu-poslednee-svidanie,11 305,Не важно,0.00
27894,Сирануи,shiranuhi,2 478,Полнометражный фильм,0.00
27888,Легенда об Аанге: Последний маг воздуха,legenda-ob-aange-posledniy-mag-vozduha,104 003,Полнометражный фильм,8.61
27877,Сиротан,sirotan,1 499,Сериал,0.00
27856,"Перо, наручники и гражданский брак",pero-naruchniki-i-grazhdanskiy-brak,4 771,Сериал,0.00
27850,Извивающийся дракон,izvivayuschiysya-drakon,26 778,ONA,8.00
27834,Кибер-Формула ГПИкс нового времени,kiber-formula-gpiks-novogo-vremeni,2 563,Сериал,5.17
27813,Ведьма и наёмник,vedma-i-naemnik,11 694,Сериал,0.00
27767,Предложение короля,predlozhenie-korolya,6 553,Не важно,0.00
